"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","result_label","result_score","tr001_modele_dpe_type_libelle","tr002_type_batiment_description"
"TROIS_CL_DPE","VERSION_2012","2013-04-09",140.94,"C",32.98,"D",2010,112.77,47.927240000000005,1.908997,"10 a Rue Fernand Rabier 45400 Fleury-les-Aubrais",0.78,"Location","Maison Individuelle"
"3CL - DPE","V2012","2013-05-06",197.53,"D",7.94,"B",1982,53.5,48.340907,-0.28356,"Parc d'Activites de la Boorie 53700 Villaines-la-Juhel",0.36,"Vente","Logement"
"3CL - DPE","V2012","2013-04-16",260.64,"E",60.99,"F",1960,82,44.191956,0.623322,"306 Rue Ferdinand David 47000 Agen",0.73,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",336,"F",18,"C",1978,120,44.811151,3.279275,"14 Rue des Crêtes 48200 Saint-Chély-d'Apcher",0.84,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",306,"E",61,"F",1948,128,47.2384,-0.106103,"Route de Doué 49400 Saumur",0.46,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-11",212,"D",63,"F",1948,124,49.595490999999996,-1.717618,"Le Manoir 50690 Teurthéville-Hague",0.84,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-16",423.08,"F",25.89,"D",1975,110,48.784178000000004,3.481939,"11 Rue de Doussigny 51210 Tréfols",0.59,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-24",125,"C",29,"D",1947,104,48.528893,5.129705,"28 Grande Rue (Chevillon) 52170 Chevillon",0.88,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",150,"C",22,"D",1990,110.05,48.096748,-0.797164,"4 Rue des Passereaux 53810 Changé",0.79,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-06",282,"E",69,"F",1948,118,48.486067,6.872836,"64 Rue Georges de Willermont 54540 Pexonne",0.76,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",181,"D",42,"E",1948,93,48.756098,5.153487999999999,"13 Rue Henri Thetard 55000 Bar-le-Duc",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-01",383.89,"F",93.15,"G",1970,89,48.064588,-2.882664,"35 Rue Kroez Person 56920 Noyal-Pontivy",0.74,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-11",149.59,"C",6.7,"B",2008,131,49.171062,6.492605,"Boulay-Moselle",0.37,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-30",273.05,"E",52.26,"E",1940,85.12,47.180913000000004,3.028832,"57 bis Avenue Gambetta 58400 La Charité-sur-Loire",0.69,"Location","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-12",257.96,"E",10.81,"B",2012,39.75,50.623453999999995,3.069785,"33 Rue de Douai 59000 Lille",0.69,"Location","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",395,"F",92,"G",1948,90,49.400735,2.810336,"4 Rue Jean Lhuillier 60200 Compiègne",0.96,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",293,"E",56,"F",1948,110,48.64996,-0.457135,"La Penliere 61220 La Coulonche",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-08",145.82,"C",27.45,"D",1976,88.48,50.585671000000005,2.670818,"555 Rue des Lobes 62136 La Couture",0.78,"Vente","Maison Individuelle"
"Facture","facture","2013-04-12",0,"N",0,"N",1948,135,46.023426,3.297718,"4 Route de la Limagne 63310 Bas-et-Lezat",0.8,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-10",329.01,"E",76.99,"F",1965,84.75,43.323141,-0.3574,"Rue de Lacq 64000 Pau",0.63,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-11",143.68,"C",4.01,"A",1930,171,43.204097999999995,0.12393299999999999,"Avenue de Toulouse 65690 Barbazan-Debat",0.66,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-04",494.04,"G",29.29,"D",1972,51,42.547621,2.382193,"11 Promenade Claude Nogue 66820 Vernet-les-Bains",0.65,"Vente","Logement"
"3CL - DPE","V2012","2013-04-13",147.87,"C",23.21,"D",1963,188,48.93228,8.150514,"35 Rue de la Mairie 67470 Mothern",0.79,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-13",363.57,"F",11.84,"C",1940,82.9,48.262865999999995,7.226121000000001,"60 Rue Maurice Burrus 68160 Sainte-Croix-aux-Mines",0.83,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-10",416.56,"F",21.73,"D",1980,100.71,45.763952,4.966761,"28 Rue de Verdun 69150 Décines-Charpieu",0.81,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-20",196,"D",44,"E",1947,124.01,47.569727,6.768713000000001,"84 Avenue Jean Jaurés 70400 Héricourt",0.78,"Location","Maison Individuelle"
"Méthode Facture",,"2013-04-16",269,"E",63,"F",1947,59.52,46.444931,4.111468,"1 Rue Hubert Giraud 71600 Paray-le-Monial",0.95,"Vente","Logement"
"3CL - DPE","V2012","2013-04-06",205.59,"D",48.11,"E",1963,85,47.999064000000004,0.232017,"13 Impasse Douce Amie 72000 Le Mans",0.8,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",231,"E",69,"F",1989,120,45.443159,6.647149000000001,"Pas de la Tour 73350 Bozel",0.46,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-10",197,"D",10,"B",1993,64.85,46.355284999999995,6.426296,"1 R du Mollard 74200 Anthy-sur-Léman",0.49,"Vente","Logement"
"Méthode Facture",,"2013-04-11",249,"E",15,"C",1947,54,48.828072999999996,2.345544,"32 Rue Vergniaud 75013 Paris",0.96,"Vente","Logement"
"3CL - DPE","V2012","2013-04-08",243.74,"E",57.04,"F",1980,31.74,49.763574,0.36952399999999996,"108 Quai Guy de Maupassant 76400 Fécamp",0.74,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-09",203,"D",47,"E",1975,150,48.796718,2.702676,"24 Rue de l'Etrier 77135 Pontcarré",0.94,"Vente","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-12",261.42,"E",0,"A",1970,8.75,48.81497,2.137595,"9 Rue Mansart 78000 Versailles",0.77,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-03",326,"E",18,"C",1983,69.84,46.352422,-0.11098,"41 Rue de la Barrière 79800 La Mothe-Saint-Héray",0.94,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-08",200,"D",6,"B",2001,99,49.914184999999996,2.546118,"4 bis Rue du Hamel 80800 Vaire-sous-Corbie",0.93,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",333,"F",100,"G",1948,144.6,43.602989,2.227117,"80 Chemin du Corporal 81100 Castres",0.81,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-12",280.67,"E",13.56,"C",2008,85,43.881069000000004,1.251125,"192 Rue Jules Ferry 82170 Bessens",0.78,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-09",228.7,"D",9.19,"B",1985,24.89,43.134514,6.2356419999999995,"Place Victor Hugo 83250 La Londe-les-Maures",0.82,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-15",118.16,"C",25.02,"D",1970,150,44.09264,4.914645,"236 Chemin des Sarrassanes 3 84350 Courthézon",0.78,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1980,93.64,47.023082,-2.292857,"4 Residence Janvier 85330 Noirmoutier-en-l'Île",0.82,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-09",194,"D",9,"B",2006,111.03,46.604764,0.304721,"22 Allée Jacquard 86580 Vouneuil-sous-Biard",0.95,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-09",131.56,"C",22.29,"D",2006,101,45.510319,1.3153,"9 Rue de l'Oradour 87500 Coussac-Bonneval",0.75,"Neuf","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",221,"D",10,"B",1989,112,48.377496,6.994594,"7 Rue Derriere la Ville 88210 Ménil-de-Senones",0.93,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",328,"E",15,"C",1981,90,48.080059999999996,3.267709,"La Haute Epine 89500 Villeneuve-sur-Yonne",0.7,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-12",374.33,"F",87.59,"G",1950,61.5,47.64196,6.852431,"24 Boulevard Jean-marie de Lattre de Tassigny 90000 Belfort",0.73,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-08",146,"C",34,"D",1989,123.4,48.528653000000006,2.29487,"28 Rue François Mitterrand 91510 Lardy",0.92,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-08",242.02,"E",11.68,"C",1980,64.05,48.892677,2.248853,"25 Rue d''Essling 92400 Courbevoie",0.79,"Location","Logement"
"Méthode Facture",,"2013-04-12",153,"D",35,"D",1,84,48.943090000000005,2.550303,"13 Allée Jean Paulhan 93270 Sevran",0.96,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-11",233,"E",22,"D",2006,39,47.372479999999996,4.361428,"Rue du Moulin à Vent 21390 Nan-sous-Thil",0.2,"Location","Logement"
"Méthode Facture",,"2013-04-11",323,"E",75,"F",1947,90,49.103076,2.541439,"3 Square de la Chapelle 95470 Survilliers",0.95,"Vente","Logement"
"Méthode Facture",,"2013-04-15",286,"E",9,"B",1,106.87,46.086627,5.407756,"11 Avenue du Château 01450 Poncin",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-17",200.38,"D",41.81,"E",1947,136,49.689062,3.2177439999999997,"11 Rue du Bois l'Abbé 02700 Frières-Faillouël",0.81,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-21",158,"D",37,"E",1947,137,46.102649,3.196202,"4 Rue Croix des Rameaux 03800 Gannat",0.85,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-08",48,"A",0,"A",2011,103,43.842264,5.988045,"16 Chemin des Grandes Aires 04210 Valensole",0.94,"Location","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-07",365,"F",23,"D",1948,205,44.562385,6.475054,"Le Petit Puy 05200 Embrun",0.61,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-08",71,"B",16,"C",1989,78,43.660443,7.170142,"123 Avenue de Nice 06800 Cagnes-sur-Mer",0.66,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",343,"F",18,"C",1960,69.56,44.943774,4.862372,"Terres Longues 07130 Saint-Péray",0.68,"Vente","Logement"
"Méthode Facture",,"2013-04-30",0,"N",0,"N",1947,67.83,49.763009999999994,4.707744,"10 Rue Léon Blum 08000 Charleville-Mézières",0.63,"Vente","Logement"
"Méthode Facture",,"2013-05-06",179,"D",42,"E",1947,274.6,43.089749,1.876167,"17 Avenue Victor Hugo 09500 Mirepoix",0.94,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-05-02",292.71,"E",87.81,"G",1974,152,48.058214,4.13875,"1 Rue des Cannes 10210 Chaource",0.77,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",145,"C",6,"B",1978,35,43.106590999999995,3.097143,"Résidence le Méditerranée 11430 Gruissan",0.65,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",654,"G",8,"B",1948,18,44.315315999999996,2.73285,"Le Vibal",0.54,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-08",107,"C",32,"D",1989,136,43.665965,5.435625,"Clos Saint Antoine 13610 Le Puy-Sainte-Réparade",0.82,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-13",169,"D",39,"E",1989,98,49.151742999999996,-0.46764300000000003,"9 Rue Exupere Louis Dubosq 14790 Verson",0.94,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-05-21",0,"N",0,"N",1947,82,45.033301,2.409145,"Puech Marzes 15310 Saint-Cernin",0.51,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-09",28.32,"A",6.63,"B",2006,87.5,45.63127,0.166008,"Hameau des Rossignols 16000 Angoulême",0.76,"Neuf","Maison Individuelle"
"FACTURE","VERSION_2012","2013-04-05",64.42,"B",0.99,"A",1940,109.5,45.666506,-0.618811,"16 Route de la Poitevinière 17460 Préguillac",0.59,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-24",282.94,"E",15.38,"C",2003,95,47.325731,2.835137,"Clos des Roches 18300 Sancerre",0.71,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",158,"D",37,"E",2000,47,45.165894,1.532835,"Rue Gutenberg 19100 Brive-la-Gaillarde",0.5,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",219,"D",7,"B",2012,110,47.52706,5.137058000000001,"18 Rue du Puits Perdu 21120 Marcilly-sur-Tille",0.88,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-29",276.18,"E",35.73,"D",1975,133,,,,,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-17",154,"D",33,"D",1947,163,46.242059000000005,1.483026,"14 Rue Fernand Villard 23300 La Souterraine",0.95,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-05-02",58.71,"N",1.91,"N",1948,140,45.50655,0.472492,"Bretanges 24340 Mareuil en Périgord",0.35,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-24",246,"E",8,"B",1947,42,47.508627000000004,6.795017999999999,"8 Quai des Tanneurs 25200 Montbéliard",0.95,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",225,"D",52,"E",1948,80,44.558752,4.755778,"2 bis Avenue de Villeneuve 26200 Montélimar",0.96,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-19",425.86,"F",102.09,"G",1967,68.2,49.024246999999995,1.264728,"23 Rue du Stade 27930 Miserey",0.74,"Vente","Maison Individuelle"
"TROIS_CL_DPE","VERSION_2012","2013-04-12",324.38,"E",18.48,"C",1973,84,48.335370000000005,1.5289760000000001,"Rue de Theuville 28360 Dammarie",0.42,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",96,"C",4,"A",2009,121.8,48.509293,-4.541076,"13 Rue de la Fontaine 29870 Coat-Méal",0.94,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",191,"D",8,"B",1968,61.05,41.913365999999996,8.724848,"3 Rue de Marengo 20000 Ajaccio",0.86,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",271,"E",16,"C",2001,160,42.486882,9.123138,"Pianotolu 20218 Moltifao",0.61,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-15",0,"N",0,"N",1947,87.5,44.288441,4.1017529999999995,"12 Rue Docteur Paul Vermale 30160 Bessèges",0.88,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-09",221,"D",11,"C",2001,49.41,43.60443,1.364101,"10 Rue de Nego Saoumos 31300 Toulouse",0.89,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,41.919987,8.729442,"Residence les Aloes Batiment E 20000 Ajaccio",0.52,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-09",293,"E",16,"C",1948,45.22,44.680851000000004,-0.527678,"19 Place Montesquieu 33650 La Brède",0.95,"Location","Logement"
"3CL - DPE","V2012","2013-04-10",144.13,"C",4.44,"A",1996,67,43.655901,4.0042800000000005,"1 Rue du Colombier 34670 Baillargues",0.64,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-11",276,"E",35,"D",1948,105.07,48.105185999999996,-1.6515819999999999,"14 Rue Louis Coquillet 35000 Rennes",0.96,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-15",192,"D",6,"B",1947,91,46.534244,1.939628,"Chassignolles",0.63,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-11",147,"C",34,"D",1989,200,47.401843,0.957225,"353 Chemin de la Fuye 37400 Amboise",0.69,"Vente","Maison Individuelle"
"Méthode Facture",,"2013-04-05",211,"D",33,"D",1947,97.5,45.543105,4.865842,"18 Montee Bon Accueil 38200 Vienne",0.59,"Location","Logement"
"3CL - DPE","V2012","2013-05-04",306.73,"E",71.78,"F",1949,83.42,46.729853000000006,5.497603,"145 Bard 39140 Ruffey-sur-Seille",0.76,"Vente","Maison Individuelle"
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",132,"C",6,"B",1983,175,43.532515000000004,-1.312325,"2532 Route de Saint-barthelemy 40390 Biaudos",0.83,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-15",159.22,"D",37.26,"E",1983,112,47.503108000000005,1.1790049999999999,"1 Rue du Docteur Jean Girault 41150 Veuzain-sur-Loire",0.47,"Vente","Maison Individuelle"
"3CL","3CL-DPE, version 1.3","2013-04-10",468,"G",111,"G",1948,64.23,46.057623,4.069794,"34 Rue Jean Bailly 42300 Mably",0.95,"Vente","Maison Individuelle"
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1947,32,45.030194,3.3883410000000005,"Piece Basse 43300 Pinols",0.3,"Vente","Logement"
"3CL","3CL-DPE, version 1.3","2013-04-09",204,"D",8,"B",2001,42.03,47.25931,-2.23139,"Rue des Chardonnerets 44600 Saint-Nazaire",0.52,"Vente","Logement"
"TROIS_CL_DPE","VERSION_2012","2013-04-11",282.4,"E",16.24,"C",1980,67.16,47.898634,1.8979080000000002,"2 bis Rue Stanislas Julien 45000 Orléans",0.82,"Location","Logement"
"3CL - DPE","V2012","2013-05-06",268.74,"E",62.89,"F",1974,117,44.611337,2.045957,"56 Rue du Rubis 46100 Figeac",0.82,"Vente","Maison Individuelle"
"FACTURE - DPE","V2012","2013-04-26",140.75,"N",4.58,"N",1948,47,44.205496000000004,0.6290979999999999,"24 Avenue Henri-barbusse 47000 Agen",0.85,"Vente","Logement"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",657,"G",41,"E",1975,32,44.519271,3.493082,"Rue de la Petite Roubeyrolle 48000 Mende",0.53,"Vente","Logement"
